sku,name,brand,category,type,price,stock,image,description,active
FLEX-3.2-4X8,Flex Fiber Cement Board 3.2mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,372.00,20,board-flex.webp,,yes
FLEX-3.5-4X8,Flex Fiber Cement Board 3.5mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,390.00,20,board-flex.webp,,yes
FLEX-4.5-4X8,Flex Fiber Cement Board 4.5mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,474.00,20,board-flex.webp,,yes
FLEX-5.0-4X8,Flex Fiber Cement Board 5.0mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,564.00,20,board-flex.webp,,yes
FLEX-6.0-4X8,Flex Fiber Cement Board 6.0mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,642.00,20,board-flex.webp,,yes
FLEX-9.0-4X8,Flex Fiber Cement Board 9.0mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,996.00,20,board-flex.webp,,yes
FLEX-12.0-4X8,Flex Fiber Cement Board 12.0mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,1344.00,20,board-flex.webp,,yes
FLEX-16.0-4X8,Flex Fiber Cement Board 16.0mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,2766.00,20,board-flex.webp,,yes
FLEX-18.0-4X8,Flex Fiber Cement Board 18.0mm x 4ft x 8ft,Flex,Boards,Fiber Cement Board,3090.00,20,board-flex.webp,,yes
SMART-3.5-4X8,Smart Fiber Cement Board 3.5mm x 4ft x 8ft,Smart,Boards,Fiber Cement Board,360.00,20,board-smart.webp,,yes
SMART-4.5-4X8,Smart Fiber Cement Board 4.5mm x 4ft x 8ft,Smart,Boards,Fiber Cement Board,432.00,20,board-smart.webp,,yes
SMART-6.0-4X8,Smart Fiber Cement Board 6.0mm x 4ft x 8ft,Smart,Boards,Fiber Cement Board,612.00,20,board-smart.webp,,yes
SMART-9.0-4X8,Smart Fiber Cement Board 9.0mm x 4ft x 8ft,Smart,Boards,Fiber Cement Board,948.00,20,board-smart.webp,,yes
SMART-12.0-4X8,Smart Fiber Cement Board 12.0mm x 4ft x 8ft,Smart,Boards,Fiber Cement Board,1224.00,20,board-smart.webp,,yes
GARDNER-3.5-4X8,Gardner Fiber Cement Board 3.5mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,379.20,20,board-gardner.webp,,yes
GARDNER-4.5-4X8,Gardner Gardflex Fiber Cement Board 4.5mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,463.20,20,board-gardner.webp,,yes
GARDNER-6.0-4X8,Gardner Gardflex Fiber Cement Board 6.0mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,648.00,20,board-gardner.webp,,yes
GARDNER-9.0-4X8,Gardner Fiber Cement Board 9.0mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,1011.60,20,board-gardner.webp,,yes
GARDNER-10.0-4X8,Gardner Fiber Cement Board 10.0mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,1122.00,20,board-gardner.webp,,yes
GARDNER-12.0-4X8,Gardner Fiber Cement Board 12.0mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,1333.20,20,board-gardner.webp,,yes
GARDNER-16.0-4X8,Gardner Fiber Cement Board 16.0mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,2007.60,20,board-gardner.webp,,yes
GARDNER-18.0-4X8,Gardner Fiber Cement Board 18.0mm x 4ft x 8ft,Gardner,Boards,Fiber Cement Board,2245.20,20,board-gardner.webp,,yes
GARDNER-SENEPA-9-8IN,"Gardner Senepa Fiber Cement Plank 9mm x 8"" x 8ft",Gardner,Boards,Fiber Cement Plank,230.40,20,board-senepa.webp,,yes
GARDNER-SENEPA-9-10IN,"Gardner Senepa Fiber Cement Plank 9mm x 10"" x 8ft",Gardner,Boards,Fiber Cement Plank,276.00,20,board-senepa.webp,,yes
GARDNER-SENEPA-9-12IN,"Gardner Senepa Fiber Cement Plank 9mm x 12"" x 8ft",Gardner,Boards,Fiber Cement Plank,312.00,20,board-senepa.webp,,yes
GARDNER-SENEPA-12-8IN,"Gardner Senepa Fiber Cement Plank 12mm x 8"" x 8ft",Gardner,Boards,Fiber Cement Plank,284.40,20,board-senepa.webp,,yes
GARDNER-SENEPA-12-10IN,"Gardner Senepa Fiber Cement Plank 12mm x 10"" x 8ft",Gardner,Boards,Fiber Cement Plank,333.60,20,board-senepa.webp,,yes
GARDNER-SENEPA-12-12IN,"Gardner Senepa Fiber Cement Plank 12mm x 12"" x 8ft",Gardner,Boards,Fiber Cement Plank,393.60,20,board-senepa.webp,,yes
SHERA-3.5-4X8,Shera Fiber Cement Board 3.5mm x 4ft x 8ft,Shera,Boards,Fiber Cement Board,384.00,20,board-shera.webp,,yes
SHERA-4.5-4X8,Shera Fiber Cement Board 4.5mm x 4ft x 8ft,Shera,Boards,Fiber Cement Board,456.00,20,board-shera.webp,,yes
SHERA-6.0-4X8,Shera Fiber Cement Board 6.0mm x 4ft x 8ft,Shera,Boards,Fiber Cement Board,624.00,20,board-shera.webp,,yes
SHERA-9.0-4X8,Shera Fiber Cement Board 9.0mm x 4ft x 8ft,Shera,Boards,Fiber Cement Board,972.00,20,board-shera.webp,,yes
SHERA-12.0-4X8,Shera Fiber Cement Board 12.0mm x 4ft x 8ft,Shera,Boards,Fiber Cement Board,1230.00,20,board-shera.webp,,yes
SHERA-18.0-4X8,Shera Fiber Cement Board 18.0mm x 4ft x 8ft,Shera,Boards,Fiber Cement Board,2124.00,20,board-shera.webp,,yes
SHERA-SENEPA-9-8IN,"Shera Senepa Fiber Cement Plank 9mm x 8"" x 8ft",Shera,Boards,Fiber Cement Plank,292.80,20,board-senepa.webp,,yes
SHERA-SENEPA-9-10IN,"Shera Senepa Fiber Cement Plank 9mm x 10"" x 8ft",Shera,Boards,Fiber Cement Plank,340.80,20,board-senepa.webp,,yes
SHERA-SENEPA-9-12IN,"Shera Senepa Fiber Cement Plank 9mm x 12"" x 8ft",Shera,Boards,Fiber Cement Plank,369.60,20,board-senepa.webp,,yes
SHERA-SENEPA-12-8IN,"Shera Senepa Fiber Cement Plank 12mm x 8"" x 8ft",Shera,Boards,Fiber Cement Plank,350.40,20,board-senepa.webp,,yes
SHERA-SENEPA-12-10IN,"Shera Senepa Fiber Cement Plank 12mm x 10"" x 8ft",Shera,Boards,Fiber Cement Plank,375.60,20,board-senepa.webp,,yes
SHERA-SENEPA-12-12IN,"Shera Senepa Fiber Cement Plank 12mm x 12"" x 8ft",Shera,Boards,Fiber Cement Plank,433.20,20,board-senepa.webp,,yes
DURAFLEX-3.5-4X8,Duraflex Fiber Cement Board 3.5mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,344.40,20,board-duraflex.webp,,yes
DURAFLEX-4.5-4X8,Duraflex Fiber Cement Board 4.5mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,429.60,20,board-duraflex.webp,,yes
DURAFLEX-6.0-4X8,Duraflex Fiber Cement Board 6.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,603.60,20,board-duraflex.webp,,yes
DURAFLEX-9.0-4X8,Duraflex Fiber Cement Board 9.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,939.60,20,board-duraflex.webp,,yes
DURAFLEX-12.0-4X8,Duraflex Fiber Cement Board 12.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,1231.20,20,board-duraflex.webp,,yes
DURAFLEX-15.0-4X8,Duraflex Fiber Cement Board 15.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,1657.20,20,board-duraflex.webp,,yes
DURAFLEX-16.0-4X8,Duraflex Fiber Cement Board 16.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,1722.00,20,board-duraflex.webp,,yes
DURAFLEX-18.0-4X8,Duraflex Fiber Cement Board 18.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,2170.80,20,board-duraflex.webp,,yes
DURAFLEX-20.0-4X8,Duraflex Fiber Cement Board 20.0mm x 4ft x 8ft,Duraflex,Boards,Fiber Cement Board,2329.20,20,board-duraflex.webp,,yes
DURAFLEX-SENEPA-9-8IN,"Duraflex Senepa Fiber Cement Plank 9mm x 8"" x 8ft",Duraflex,Boards,Fiber Cement Plank,237.60,20,board-senepa.webp,,yes
DURAFLEX-SENEPA-9-10IN,"Duraflex Senepa Fiber Cement Plank 9mm x 10"" x 8ft",Duraflex,Boards,Fiber Cement Plank,277.20,20,board-senepa.webp,,yes
DURAFLEX-SENEPA-9-12IN,"Duraflex Senepa Fiber Cement Plank 9mm x 12"" x 8ft",Duraflex,Boards,Fiber Cement Plank,337.20,20,board-senepa.webp,,yes
DURAFLEX-SENEPA-12-8IN,"Duraflex Senepa Fiber Cement Plank 12mm x 8"" x 8ft",Duraflex,Boards,Fiber Cement Plank,308.40,20,board-senepa.webp,,yes
DURAFLEX-SENEPA-12-10IN,"Duraflex Senepa Fiber Cement Plank 12mm x 10"" x 8ft",Duraflex,Boards,Fiber Cement Plank,351.60,20,board-senepa.webp,,yes
DURAFLEX-SENEPA-12-12IN,"Duraflex Senepa Fiber Cement Plank 12mm x 12"" x 8ft",Duraflex,Boards,Fiber Cement Plank,421.20,20,board-senepa.webp,,yes
MDF-2.5-4X8,MDF Board 2.5mm x 4ft x 8ft (Pre-order),MDF,Boards,MDF Board,303.60,20,board-mdf.webp,Pre-order item: LCT confirms the lead time when you order.,yes
MDF-3.0-4X8,MDF Board 3.0mm x 4ft x 8ft,MDF,Boards,MDF Board,372.00,20,board-mdf.webp,,yes
MDF-4.0-4X8,MDF Board 4.0mm x 4ft x 8ft (Pre-order),MDF,Boards,MDF Board,450.00,20,board-mdf.webp,Pre-order item: LCT confirms the lead time when you order.,yes
MDF-4.75-4X8,MDF Board 4.75mm x 4ft x 8ft,MDF,Boards,MDF Board,520.80,20,board-mdf.webp,,yes
MDF-6.0-4X8,MDF Board 6.0mm x 4ft x 8ft,MDF,Boards,MDF Board,612.00,20,board-mdf.webp,,yes
MDF-9.0-4X8,MDF Board 9.0mm x 4ft x 8ft,MDF,Boards,MDF Board,810.00,20,board-mdf.webp,,yes
MDF-12.0-4X8,MDF Board 12.0mm x 4ft x 8ft,MDF,Boards,MDF Board,1080.00,20,board-mdf.webp,,yes
MDF-15.0-4X8,MDF Board 15.0mm x 4ft x 8ft (Pre-order),MDF,Boards,MDF Board,1236.00,20,board-mdf.webp,Pre-order item: LCT confirms the lead time when you order.,yes
MDF-18.0-4X8,MDF Board 18.0mm x 4ft x 8ft,MDF,Boards,MDF Board,1440.00,20,board-mdf.webp,,yes
MDF-25.0-4X8,MDF Board 25.0mm x 4ft x 8ft (Pre-order),MDF,Boards,MDF Board,2394.00,20,board-mdf.webp,Pre-order item: LCT confirms the lead time when you order.,yes
MARINEPLEX-10-Y,Marineplex Phenolic Board 10mm x 4ft x 8ft (Yellow),Marineplex,Boards,Phenolic Board,1026.00,20,board-marineplex.webp,,yes
MARINEPLEX-11-W,Marineplex Phenolic Board 11mm x 4ft x 8ft (White),Marineplex,Boards,Phenolic Board,1182.00,20,board-marineplex.webp,,yes
MARINEPLEX-16-Y,Marineplex Phenolic Board 16mm x 4ft x 8ft (Yellow),Marineplex,Boards,Phenolic Board,1278.00,20,board-marineplex.webp,,yes
MARINEPLEX-17-W,Marineplex Phenolic Board 17mm x 4ft x 8ft (White),Marineplex,Boards,Phenolic Board,1650.00,20,board-marineplex.webp,,yes
CROCODILE-1/2-4X8,"Crocodile Phenolic Board 1/2"" (7-7.5mm) x 4ft x 8ft",Crocodile,Boards,Phenolic Board,642.00,20,board-crocodile.webp,"Crocodile brand: no return, no exchange, no cancellation, no refund.",yes
CROCODILE-3/4-4X8,"Crocodile Phenolic Board 3/4"" (14.5mm) x 4ft x 8ft",Crocodile,Boards,Phenolic Board,954.00,20,board-crocodile.webp,"Crocodile brand: no return, no exchange, no cancellation, no refund.",yes
IMWOOD-11-12-4X8,IM Wood Phenolic Board 11-12mm x 4ft x 8ft,IM Wood,Boards,Phenolic Board,1134.00,20,board-imwood.webp,,yes
IMWOOD-17-18-4X8,IM Wood Phenolic Board 17-18mm x 4ft x 8ft,IM Wood,Boards,Phenolic Board,1578.00,20,board-imwood.webp,,yes
GYPROC-12-RE-TE,Gyproc Gypsum Board 12mm x 4ft x 8ft RE/TE,Gyproc,Boards,Gypsum Board,536.40,20,board-gyproc.webp,,yes
GYPROC-9-RE-TE,Gyproc Gypsum Board 9mm x 4ft x 8ft RE/TE,Gyproc,Boards,Gypsum Board,464.40,20,board-gyproc.webp,,yes
GYPROC-12-MR-TE,Gyproc Moisture Resistant Gypsum Board 12mm x 4ft x 8ft MR/TE,Gyproc,Boards,Gypsum Board,777.60,20,board-gyproc.webp,,yes
GYPROC-9-MR-TE,Gyproc Moisture Resistant Gypsum Board 9mm x 4ft x 8ft MR/TE,Gyproc,Boards,Gypsum Board,682.80,20,board-gyproc.webp,,yes
GYPROC-15.9-RE-TE,"Gyproc Gypsum Board 15.9mm (5/8"") x 4ft x 8ft RE/TE",Gyproc,Boards,Gypsum Board,885.60,20,board-gyproc.webp,,yes
GYPROC-12.7-FS-X,Gyproc Fire Shield Gypsum Board 12.7mm x 4ft x 8ft Type X,Gyproc,Boards,Gypsum Board,909.60,20,board-gyproc.webp,,yes
GYPROC-15.9-FS-X,Gyproc Fire Shield Gypsum Board 15.9mm x 4ft x 8ft Type X,Gyproc,Boards,Gypsum Board,1196.40,20,board-gyproc.webp,,yes
GYPCOTE-ARM-28KG,Gypcote All Purpose Ready Mix Compound 28kg,Gyproc,Boards,Jointing Compound,1077.60,20,board-gyproc.webp,,yes
GYPREX-PW-9-2X4,Gyprex Plain White Ceiling Tile 9mm x 2ft x 4ft,Gyproc,Boards,Ceiling Tile,302.40,20,board-gyprex.webp,,yes
GYPREX-GR-9-2X4,Gyprex Granular Ceiling Tile 9mm x 2ft x 4ft,Gyproc,Boards,Ceiling Tile,302.40,20,board-gyprex.webp,,yes
GYPREX-DD-9-2X4,Gyprex Dew Drop Ceiling Tile 9mm x 2ft x 4ft,Gyproc,Boards,Ceiling Tile,302.40,20,board-gyprex.webp,,yes
GYPROC-PROFIN-20KG,Gyproc Profin Jointing Compound 20kg,Gyproc,Boards,Jointing Compound,798.00,20,board-gyproc.webp,,yes
GYPLINE-12-4X8,Gypline Gypsum Board 12mm x 4ft x 8ft,Gypline,Boards,Gypsum Board,492.00,20,board-gypline.webp,,yes
GYPLINE-9-4X8,Gypline Gypsum Board 9mm x 4ft x 8ft,Gypline,Boards,Gypsum Board,432.00,20,board-gypline.webp,,yes
EASTBERG-9-4X8,Eastberg Gypsum Board 9mm x 4ft x 8ft,Eastberg,Boards,Gypsum Board,447.60,20,board-eastberg.webp,,yes
EASTBERG-12-4X8,Eastberg Gypsum Board 12mm x 4ft x 8ft,Eastberg,Boards,Gypsum Board,514.80,20,board-eastberg.webp,,yes
EASTBERG-9-MR-4X8,Eastberg Moisture Resistant Gypsum Board 9mm x 4ft x 8ft MR,Eastberg,Boards,Gypsum Board,573.60,20,board-eastberg.webp,,yes
EASTBERG-12-MR-4X8,Eastberg Moisture Resistant Gypsum Board 12mm x 4ft x 8ft MR,Eastberg,Boards,Gypsum Board,654.00,20,board-eastberg.webp,,yes
EASTBERG-12-X-4X8,Eastberg Fire Rated Gypsum Board 12mm x 4ft x 8ft Type X,Eastberg,Boards,Gypsum Board,822.00,20,board-eastberg.webp,,yes
EASTBERG-15-X-4X8,Eastberg Fire Rated Gypsum Board 15mm x 4ft x 8ft Type X,Eastberg,Boards,Gypsum Board,1056.00,20,board-eastberg.webp,,yes
EASTBERG-ECHOSTOP-12,Eastberg Echostop Acoustic Board 12mm,Eastberg,Boards,Gypsum Board,1347.60,20,board-eastberg.webp,,yes
EASTBERG-TILE-9,Eastberg Ceiling Tile 9mm,Eastberg,Boards,Ceiling Tile,234.00,20,board-eastberg-tile.webp,,yes
EASTBERG-JC,Eastberg Jointing Compound,Eastberg,Boards,Jointing Compound,516.00,20,board-eastberg-compound.webp,,yes
WEBER-FINEWHITE-20KG,Weber Fine White Skim Coat 20kg,Weber,Boards,Tile Adhesive & Skim Coat,468.00,20,board-weber-finewhite.webp,,yes
WEBER-TAIVIS-25KG,Weber Taivis Standard Tile Adhesive 25kg,Weber,Boards,Tile Adhesive & Skim Coat,276.00,20,board-weber-taivis.webp,,yes
PP-HOLLOW-12,PP Hollow Board 12mm,PP Hollow Board,Boards,PP Hollow Board,1704.00,20,board-pp-hollow.webp,,yes
PP-HOLLOW-15,PP Hollow Board 15mm,PP Hollow Board,Boards,PP Hollow Board,1944.00,20,board-pp-hollow.webp,,yes
PP-HOLLOW-18,PP Hollow Board 18mm,PP Hollow Board,Boards,PP Hollow Board,2304.00,20,board-pp-hollow.webp,,yes
SVC-500VA,Wixim Automatic Voltage Regulator 500VA Single Phase Servo (SVC-500VA),Wixim,Electrical & Lighting,Automatic Voltage Regulator,4920.00,20,wixim-avr-small.webp,"Single phase, servo motor control with time delay and over-voltage protection. Input 150-250V or 70-140V, output 220V or 110V. Protection: 5A fuse. Size: 19x18x14 cm. Weight: 3.5 kg.",yes
SVC-1000VA,Wixim Automatic Voltage Regulator 1000VA Single Phase Servo (SVC-1000VA),Wixim,Electrical & Lighting,Automatic Voltage Regulator,6480.00,20,wixim-avr-small.webp,"Single phase, servo motor control with time delay and over-voltage protection. Input 150-250V or 70-140V, output 220V or 110V. Protection: 7A fuse. Size: 22x21x16 cm. Weight: 5.0 kg.",yes
SVC-1500VA,Wixim Automatic Voltage Regulator 1500VA Single Phase Servo (SVC-1500VA),Wixim,Electrical & Lighting,Automatic Voltage Regulator,7320.00,20,wixim-avr-small.webp,"Single phase, servo motor control with time delay and over-voltage protection. Input 150-250V or 70-140V, output 220V or 110V. Protection: 10A fuse. Size: 22x21x16 cm. Weight: 6.0 kg.",yes
SVC-2000VA,Wixim Automatic Voltage Regulator 2000VA Single Phase Servo (SVC-2000VA),Wixim,Electrical & Lighting,Automatic Voltage Regulator,10680.00,20,wixim-avr-small.webp,"Single phase, servo motor control with time delay and over-voltage protection. Input 150-250V or 70-140V, output 220V or 110V. Protection: 10A MCB. Size: 24x27x20 cm. Weight: 12 kg.",yes
SVC-3000VA,Wixim Automatic Voltage Regulator 3000VA Single Phase Servo (SVC-3000VA),Wixim,Electrical & Lighting,Automatic Voltage Regulator,14280.00,20,wixim-avr-medium.webp,"Single phase, servo motor control with time delay and over-voltage protection. Input 150-250V or 70-140V, output 220V or 110V. Protection: 16A MCB. Size: 22x30x25 cm. Weight: 13 kg.",yes
