sku,name,brand,category,type,price,stock,image,description,active
HBC-150VA,Wixim DC-AC Inverter HBC-150VA 150VA DC12V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,4560.00,20,wixim-p4-1.webp,,yes
HBC-250VA,Wixim DC-AC Inverter HBC-250VA 250VA DC12V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,5760.00,20,wixim-p4-1.webp,,yes
HBC-350VA,Wixim DC-AC Inverter HBC-350VA 350VA DC12V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,6480.00,20,wixim-p4-1.webp,,yes
HBC-500VA,Wixim DC-AC Inverter HBC-500VA 500VA DC12V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,7320.00,20,wixim-p4-1.webp,,yes
HBC-1000VA,Wixim DC-AC Inverter HBC-1000VA 1000VA DC24V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,10800.00,20,wixim-p4-1.webp,,yes
HBC-1500VA,Wixim DC-AC Inverter HBC-1500VA 1500VA DC24V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,15300.00,20,wixim-p4-1.webp,,yes
HBC-2000VA,Wixim DC-AC Inverter HBC-2000VA 2000VA DC24V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,20400.00,20,wixim-p4-1.webp,,yes
HBC-3000VA,Wixim DC-AC Inverter HBC-3000VA 3000VA DC48V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,36720.00,20,wixim-p4-1.webp,,yes
HBC-5000VA,Wixim DC-AC Inverter HBC-5000VA 5000VA DC48V Modified Square Wave w/ Charger,Wixim,Electrical & Lighting,DC-AC Inverter,53040.00,20,wixim-p4-1.webp,,yes
LEAD-ACID-BATTERY-12V7AH,Wixim Regulated Lead-Acid Battery 12V 7Ah (20HR),Wixim,Electrical & Lighting,Regulated Lead-Acid Battery,1320.00,20,wixim-p4-2.webp,,yes
